1;
						Customer 1;
						1;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					2;
						Customer 2;
						2;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					3;
						Customer 3;
						3;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					4;
						Customer 4;
						4;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					5;
						Customer 5;
						5;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					6;
						Customer 6;
						6;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					7;
						Customer 7;
						7;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					8;
						Customer 8;
						8;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					9;
						Customer 9;
						9;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					10;
						Customer 10;
						10;
						CamposNovos;
						SC;
						Brazil;
						Rua da minha casa;
						Sua casa;
						89620-000;
						Casa
						\n
					
